shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
596,17094,25-02-2020,NULL,fedex,Delivered
9782,212,09-05-2023,NULL,fedex,Delivered
10028,9415,28-10-2020,NULL,fedex,Delivered
8495,7300,04-02-2020,NULL,fedex,Delivered
3573,636,12-06-2023,NULL,fedex,Delivered
2895,16473,30-07-2022,NULL,fedex,Delivered
1879,19088,24-07-2023,NULL,fedex,Delivered
11111,5180,28-03-2022,NULL,fedex,Delivered
2221,17208,05-07-2021,NULL,fedex,Delivered
12712,2468,24-08-2020,NULL,fedex,Delivered
7510,17623,19-04-2020,NULL,fedex,Delivered
3441,1454,01-04-2022,NULL,fedex,Delivered
9701,17526,12-02-2023,NULL,fedex,Delivered
2899,6578,21-05-2022,NULL,fedex,Delivered
19147,6635,14-11-2021,23-11-2021,bluedart,Returned 
18175,15733,23-09-2023,02-10-2023,dhl,Returned 
4990,1180,19-01-2023,NULL,fedex,Delivered
17259,7073,15-03-2023,NULL,dhl,Delivered
20636,12774,14-12-2021,23-12-2021,bluedart,Returned 
8442,14994,01-10-2022,NULL,fedex,Delivered
2143,7958,20-11-2020,NULL,fedex,Delivered
5031,6810,29-04-2021,NULL,fedex,Delivered
11057,8825,20-07-2020,NULL,fedex,Delivered
3444,5384,01-03-2022,NULL,fedex,Delivered
17402,16272,19-04-2020,NULL,dhl,Delivered
20464,21574,27-07-2024,04-08-2024,bluedart,Returned 
8188,4516,07-12-2023,NULL,fedex,Delivered
16373,14936,08-06-2021,NULL,dhl,Delivered
6893,1278,09-04-2020,NULL,fedex,Delivered
11009,6938,25-12-2022,NULL,fedex,Delivered
10000,13039,17-10-2021,NULL,fedex,Delivered
8463,7406,20-09-2021,NULL,fedex,Delivered
18176,20253,17-09-2023,24-09-2023,dhl,Returned 
5014,14499,14-01-2022,NULL,fedex,Delivered
20608,11948,10-01-2023,20-01-2023,bluedart,Returned 
6849,19470,26-06-2022,NULL,fedex,Delivered
1073,13285,08-08-2023,NULL,fedex,Delivered
1625,16456,16-01-2023,NULL,fedex,Delivered
1708,9039,19-08-2023,NULL,fedex,Delivered
19799,14588,27-06-2023,11-07-2023,bluedart,Returned 
12694,10648,23-03-2021,NULL,fedex,Delivered
20030,8692,15-08-2021,24-08-2021,bluedart,Returned 
1768,13078,31-05-2021,NULL,fedex,Delivered
3447,6623,03-01-2022,NULL,fedex,Delivered
7402,17167,22-09-2021,NULL,fedex,Delivered
2201,15242,08-04-2022,NULL,fedex,Delivered
6315,15598,21-04-2021,NULL,fedex,Delivered
8198,13449,03-08-2023,NULL,fedex,Delivered
